image_url,game_id,current_club_name,season,name,position,name,sub_position,country_of_citizenship,goals,assists,minutes_played,market_value_in_eur,yellow_cards,red_cards
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2517326,Brighton & Hove Albion,2014,James Milner,Midfield,fa-cup,Central Midfield,,2,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2527276,Brighton & Hove Albion,2014,James Milner,Midfield,fa-cup,Central Midfield,,0,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2577864,Brighton & Hove Albion,2015,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,1,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2577886,Brighton & Hove Albion,2015,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2577893,Brighton & Hove Albion,2015,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2577947,Brighton & Hove Albion,2015,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2577958,Brighton & Hove Albion,2015,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,1,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2577961,Brighton & Hove Albion,2015,James Milner,Midfield,premier-league,Central Midfield,,1,1,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2577963,Brighton & Hove Albion,2015,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,1,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2577989,Brighton & Hove Albion,2015,James Milner,Midfield,premier-league,Central Midfield,,0,1,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2577993,Brighton & Hove Albion,2015,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,1,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2578000,Brighton & Hove Albion,2015,James Milner,Midfield,premier-league,Central Midfield,,0,1,90,1500000,1,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2578003,Brighton & Hove Albion,2015,James Milner,Midfield,premier-league,Central Midfield,,0,0,64,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2578037,Brighton & Hove Albion,2015,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2578055,Brighton & Hove Albion,2015,James Milner,Midfield,premier-league,Central Midfield,,1,0,90,1500000,1,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2578056,Brighton & Hove Albion,2015,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2578060,Brighton & Hove Albion,2015,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2578097,Brighton & Hove Albion,2015,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2578104,Brighton & Hove Albion,2015,James Milner,Midfield,premier-league,Central Midfield,,0,1,66,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2578110,Brighton & Hove Albion,2015,James Milner,Midfield,premier-league,Central Midfield,,1,1,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2578123,Brighton & Hove Albion,2015,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2578134,Brighton & Hove Albion,2015,James Milner,Midfield,premier-league,Central Midfield,,0,1,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2578142,Brighton & Hove Albion,2015,James Milner,Midfield,premier-league,Central Midfield,,0,2,81,1500000,1,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2578143,Brighton & Hove Albion,2015,James Milner,Midfield,premier-league,Central Midfield,,1,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2578173,Brighton & Hove Albion,2015,James Milner,Midfield,premier-league,Central Midfield,,0,0,62,1500000,2,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2578178,Brighton & Hove Albion,2015,James Milner,Midfield,premier-league,Central Midfield,,1,1,88,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2578181,Brighton & Hove Albion,2015,James Milner,Midfield,premier-league,Central Midfield,,0,0,75,1500000,1,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2578199,Brighton & Hove Albion,2015,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2578217,Brighton & Hove Albion,2015,James Milner,Midfield,premier-league,Central Midfield,,0,2,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2578273,Brighton & Hove Albion,2015,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,1,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2660161,Brighton & Hove Albion,2015,James Milner,Midfield,fa-cup,Central Midfield,,0,0,18,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2697997,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,0,0,77,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698013,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,1,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698089,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,0,1,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698097,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698112,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,2,0,90,1500000,1,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698117,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,1,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698135,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,0,0,86,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698145,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698154,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698177,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,1,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698182,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,0,0
